Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,Comment
571,Anna-Uni,443.575000,+,5.000000,TSQL,192.8,192.8,23,NN,23,Tone->Tone,FM,IL S03 | Wide | https://tinyurl.com/22bfxnck
572,Carbonda,146.730000,-,0.600000,TSQL,88.5,88.5,23,NN,23,Tone->Tone,FM,IL S03 | Wide | https://tinyurl.com/2b66s37m
573,DownersG,444.475000,+,5.000000,TSQL,114.8,114.8,23,NN,23,Tone->Tone,FM,"IL S03 | Wide, Nets | https://tinyurl.com/2bnefd52"
574,Effingha,146.895000,-,0.600000,TSQL,110.9,110.9,23,NN,23,Tone->Tone,FM,IL S03 | Wide | https://tinyurl.com/25edbllu
575,Elsah-Pr,145.310000,-,0.600000,TSQL,79.7,79.7,23,NN,23,Tone->Tone,FM,IL S03 | Wide | https://tinyurl.com/2c9u66e6
576,Elvaston,145.210000,-,0.600000,TSQL,97.4,97.4,23,NN,23,Tone->Tone,FM,"IL S03 | Link, AllStar, Wide | https://tinyurl.com/29jafcms"
577,Freeport,147.300000,+,0.600000,TSQL,88.5,88.5,23,NN,23,Tone->Tone,FM,IL S03 | Wide | https://tinyurl.com/262y5sy8
578,Freeport,442.000000,+,5.000000,TSQL,146.2,146.2,23,NN,23,Tone->Tone,FM,"IL S03 | Link, EchoLink | https://tinyurl.com/27f7hxlg"
579,Ina-Rend,145.190000,-,0.600000,TSQL,71.9,71.9,23,NN,23,Tone->Tone,FM,IL S03 | Wide | https://tinyurl.com/29bjr2b4
580,Lovingto,444.275000,+,5.000000,TSQL,103.5,103.5,23,NN,23,Tone->Tone,FM,"IL S03 | Link, EchoLink | https://tinyurl.com/28yavyt3"
581,MtVernon,147.135000,+,0.600000,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,IL S03 | Wide | https://tinyurl.com/2bf7xn2p
582,Peoria-P,443.175000,+,5.000000,TSQL,103.5,103.5,23,NN,23,Tone->Tone,FM,"IL S03 | Link, Wide | https://tinyurl.com/227x84bj"
583,Robinson,147.360000,+,0.600000,TSQL,107.2,107.2,23,NN,23,Tone->Tone,FM,IL S03 | Wide | https://tinyurl.com/27cw8yov
584,RockIsla,146.775000,-,0.600000,,88.5,88.5,23,NN,23,Tone->Tone,FM,IL S03 | Wide | https://tinyurl.com/2y6sdwt6
585,Vandalia,146.745000,-,0.600000,TSQL,88.5,88.5,23,NN,23,Tone->Tone,FM,IL S03 | Wide | https://tinyurl.com/2cr7c9np
586,Wheaton-,444.275000,+,5.000000,TSQL,114.8,114.8,23,NN,23,Tone->Tone,FM,"IL S03 | Link, EchoLink, Wide | https://tinyurl.com/266f2868"
587,Winnebag,442.350000,+,5.000000,TSQL,88.5,88.5,23,NN,23,Tone->Tone,FM,"IL S03 | Link, EchoLink | https://tinyurl.com/24azjm28"
588,Bremen-W,145.190000,-,0.600000,TSQL,131.8,131.8,23,NN,23,Tone->Tone,FM,IN S03 | Wide | https://tinyurl.com/276lxhr5
589,Columbia,147.270000,+,0.600000,TSQL,97.4,97.4,23,NN,23,Tone->Tone,FM,"IN S03 | Link, AllStar+EchoLink, Wide | https://tinyurl.com/2yxjg5dt"
590,HortonVl,146.865000,-,0.600000,TSQL,77.0,77.0,23,NN,23,Tone->Tone,FM,IN S03 | Wide | https://tinyurl.com/228lvaxb
591,Lawrence,147.285000,+,0.600000,Tone,146.2,88.5,23,NN,23,Tone->Tone,FM,"IN S03 | Link, AllStar+EchoLink | https://tinyurl.com/2yo5zvzz"
592,Lawrence,443.875000,+,5.000000,Tone,146.2,88.5,23,NN,23,Tone->Tone,FM,"IN S03 | Link, AllStar+EchoLink | https://tinyurl.com/2bqqy8pz"
593,Lynn-K9N,441.512500,+,5.000000,,88.5,88.5,23,NN,23,Tone->Tone,FM,IN S03 | Wide | https://tinyurl.com/2cd2g2kz
594,Newburgh,145.430000,-,0.600000,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,IN S03 | Wide | https://tinyurl.com/22h4q6ee
595,OgdenDun,443.000000,+,5.000000,TSQL,173.8,173.8,23,NN,23,Tone->Tone,FM,"IN S03 | Link, AllStar | https://tinyurl.com/28esgkq3"
596,Corbin-W,146.610000,-,0.600000,TSQL,103.5,103.5,23,NN,23,Tone->Tone,FM,"KY S03 | Link, EchoLink, Nets | https://tinyurl.com/23hmr5ub"
597,HopkinsV,444.750000,+,5.000000,TSQL,88.5,88.5,23,NN,23,Tone->Tone,FM,"KY S03 | Link, AllStar+EchoLink, Wide | https://tinyurl.com/22q5bzz3"
598,Prspct-C,145.280000,-,0.600000,TSQL,77.0,77.0,23,NN,23,Tone->Tone,FM,"KY S03 | Link, EchoLink | https://tinyurl.com/2anco58y"
